number,name,feed,top_Photo,down_Photo,Date,Sex,Stage
82251,Ixodesscapularis,PartiallyFed,82251top,82251down,OrderDate6/19/20@09:09AMEDT,female,adult
82252,Amblyommaamericanum,PartiallyFed,82252top,82252down,OrderDate6/19/20@09:10AMEDT,unknown,nymph
82253,Ixodesscapularis,PartiallyFed,82253top,82253down,OrderDate6/19/20@09:18AMEDT,unknown,nymph
82254,Ixodesscapularis,PartiallyFed,82254top,82254down,OrderDate6/19/20@09:22AMEDT,unknown,nymph
82255,Ixodesscapularis,PartiallyFed,82255top,82255down,OrderDate6/19/20@09:22AMEDT,unknown,nymph
82256,Ixodesscapularis,PartiallyFed,82256top,82256down,OrderDate6/19/20@09:22AMEDT,unknown,nymph
82257,Amblyommaamericanum,PartiallyFed,82257top,82257down,OrderDate6/19/20@09:28AMEDT,unknown,nymph
82259,Amblyommaamericanum,PartiallyFed,82259top,82259down,OrderDate6/19/20@09:32AMEDT,female,adult
82260,Amblyommaamericanum,PartiallyFed,82260top,82260down,OrderDate6/19/20@09:41AMEDT,unknown,nymph
82261,Amblyommaamericanum,PartiallyFed,82261top,82261down,OrderDate6/19/20@09:41AMEDT,unknown,nymph
82262,Amblyommaamericanum,PartiallyFed,82262top,82262down,OrderDate6/19/20@09:41AMEDT,male,adult
82263,Ixodespacificus,PartiallyFed,82263top,82263down,OrderDate6/19/20@09:44AMEDT,female,adult
82264,Ixodesscapularis,PartiallyFed,82264top,82264down,OrderDate6/19/20@09:51AMEDT,unknown,nymph
82265,Ixodesscapularis,PartiallyFed,82265top,82265down,OrderDate6/19/20@09:56AMEDT,unknown,nymph
82266,Ixodesscapularis,PartiallyFed,82266top,82266down,OrderDate6/19/20@10:03AMEDT,unknown,nymph
82267,Dermacentorvariabilis,PartiallyFed,82267top,82267down,OrderDate6/19/20@10:05AMEDT,female,adult
82268,Amblyommaamericanum,PartiallyFed,82268top,82268down,OrderDate6/19/20@10:10AMEDT,unknown,nymph
82269,Ixodesscapularis,PartiallyFed,82269top,82269down,OrderDate6/19/20@10:16AMEDT,unknown,nymph
82270,Amblyommaamericanum,PartiallyFed,82270top,82270down,OrderDate6/19/20@10:17AMEDT,unknown,nymph
82272,Ixodesscapularis,PartiallyFed,82272top,82272down,OrderDate6/19/20@10:21AMEDT,unknown,nymph
82274,Dermacentorvariabilis,PartiallyFed,82274top,82274down,OrderDate6/19/20@10:29AMEDT,unknown,nymph
82275,Amblyommaamericanum,PartiallyFed,82275top,82275down,OrderDate6/19/20@10:30AMEDT,female,adult
82276,Ixodesscapularis,PartiallyFed,82276top,82276down,OrderDate6/19/20@10:37AMEDT,unknown,nymph
82277,Amblyommaamericanum,PartiallyFed,82277top,82277down,OrderDate6/19/20@10:43AMEDT,unknown,nymph
82278,Ixodesscapularis,PartiallyFed,82278top,82278down,OrderDate6/19/20@10:44AMEDT,unknown,nymph
82279,Amblyommaamericanum,PartiallyFed,82279top,82279down,OrderDate6/19/20@10:47AMEDT,unknown,nymph
82280,Dermacentorvariabilis,PartiallyFed,82280top,82280down,OrderDate6/19/20@10:48AMEDT,female,adult
82281,Dermacentorvariabilis,PartiallyFed,82281top,82281down,OrderDate6/19/20@10:48AMEDT,male,adult
82282,Dermacentorvariabilis,PartiallyFed,82282top,82282down,OrderDate6/19/20@10:54AMEDT,female,adult
82283,Amblyommaamericanum,PartiallyFed,82283top,82283down,OrderDate6/19/20@10:54AMEDT,male,adult
82284,Dermacentorvariabilis,PartiallyFed,82284top,82284down,OrderDate6/19/20@10:54AMEDT,male,adult
82285,Dermacentorvariabilis,PartiallyFed,82285top,82285down,OrderDate6/19/20@10:57AMEDT,female,adult
82286,Dermacentorvariabilis,PartiallyFed,82286top,82286down,OrderDate6/19/20@10:57AMEDT,female,adult
82287,Amblyommaamericanum,PartiallyFed,82287top,82287down,OrderDate6/19/20@10:58AMEDT,unknown,nymph
82288,Dermacentorandersoni,PartiallyFed,82288top,82288down,OrderDate6/19/20@10:59AMEDT,female,adult
82289,Dermacentorvariabilis,PartiallyFed,82289top,82289down,OrderDate6/19/20@11:04AMEDT,female,adult
82290,Dermacentorvariabilis,PartiallyFed,82290top,82290down,OrderDate6/19/20@11:06AMEDT,female,adult
82291,Ixodesscapularis,PartiallyFed,82291top,82291down,OrderDate6/19/20@11:12AMEDT,unknown,nymph
82292,Ixodesscapularis,PartiallyFed,82292top,82292down,OrderDate6/19/20@11:13AMEDT,unknown,nymph
82293,Ixodesscapularis,PartiallyFed,82293top,82293down,OrderDate6/19/20@11:14AMEDT,unknown,nymph
82294,Amblyommaamericanum,PartiallyFed,82294top,82294down,OrderDate6/19/20@11:19AMEDT,unknown,nymph
82295,Ixodespacificus,PartiallyFed,82295top,82295down,OrderDate6/19/20@11:20AMEDT,female,adult
82296,Dermacentorvariabilis,PartiallyFed,82296top,82296down,OrderDate6/19/20@11:39AMEDT,female,adult
82297,Dermacentorvariabilis,PartiallyFed,82297top,82297down,OrderDate6/19/20@11:45AMEDT,female,adult
82299,Amblyommaamericanum,PartiallyFed,82299top,82299down,OrderDate6/19/20@12:08PMEDT,female,adult
82300,Ixodescookei,Engorged,82300top,82300down,OrderDate6/19/20@12:11PMEDT,female,adult
82301,Ixodesscapularis,PartiallyFed,82301top,82301down,OrderDate6/19/20@12:16PMEDT,female,adult
82302,Ixodesscapularis,PartiallyFed,82302top,82302down,OrderDate6/19/20@12:34PMEDT,unknown,nymph
82303,Ixodesscapularis,PartiallyFed,82303top,82303down,OrderDate6/19/20@12:40PMEDT,unknown,nymph
82304,Ixodesscapularis,PartiallyFed,82304top,82304down,OrderDate6/19/20@12:43PMEDT,female,adult
82305,Ixodesscapularis,PartiallyFed,82305top,82305down,OrderDate6/19/20@12:43PMEDT,unknown,nymph
82306,Ixodesscapularis,PartiallyFed,82306top,82306down,OrderDate6/19/20@12:47PMEDT,unknown,nymph
82307,Amblyommaamericanum,PartiallyFed,82307top,82307down,OrderDate6/19/20@12:47PMEDT,unknown,nymph
82308,Amblyommaamericanum,PartiallyFed,82308top,82308down,OrderDate6/19/20@01:02PMEDT,unknown,nymph
82309,Amblyommaamericanum,PartiallyFed,82309top,82309down,OrderDate6/19/20@01:25PMEDT,unknown,nymph
82310,Amblyommaamericanum,PartiallyFed,82310top,82310down,OrderDate6/19/20@01:41PMEDT,female,adult
82311,Amblyommaamericanum,PartiallyFed,82311top,82311down,OrderDate6/19/20@01:51PMEDT,unknown,nymph
82312,Ixodesscapularis,PartiallyFed,82312top,82312down,OrderDate6/19/20@01:59PMEDT,unknown,nymph
82313,Ixodesscapularis,PartiallyFed,82313top,82313down,OrderDate6/19/20@02:05PMEDT,unknown,nymph
82314,Ixodesscapularis,PartiallyFed,82314top,82314down,OrderDate6/19/20@02:05PMEDT,unknown,nymph
82315,Ixodesscapularis,PartiallyFed,82315top,82315down,OrderDate6/19/20@02:43PMEDT,unknown,nymph
82316,Ixodesscapularis,PartiallyFed,82316top,82316down,OrderDate6/19/20@02:43PMEDT,unknown,nymph
82317,Ixodesscapularis,PartiallyFed,82317top,82317down,OrderDate6/19/20@02:44PMEDT,unknown,nymph
82318,Ixodesscapularis,Novisiblesignsoffeeding(flat),82318top,82318down,OrderDate6/19/20@03:09PMEDT,unknown,larva
82319,Dermacentorvariabilis,PartiallyFed,82319top,82319down,OrderDate6/19/20@03:18PMEDT,male,adult
82320,Ixodesscapularis,PartiallyFed,82320top,82320down,OrderDate6/19/20@03:23PMEDT,unknown,nymph
82321,Ixodesscapularis,PartiallyFed,82321top,82321down,OrderDate6/19/20@03:36PMEDT,female,adult
82322,Amblyommaamericanum,PartiallyFed,82322top,82322down,OrderDate6/19/20@03:37PMEDT,male,adult
82323,Dermacentorvariabilis,PartiallyFed,82323top,82323down,OrderDate6/19/20@03:42PMEDT,female,adult
82324,Ixodespacificus,PartiallyFed,82324top,82324down,OrderDate6/19/20@03:44PMEDT,female,adult
82325,Ixodesscapularis,PartiallyFed,82325top,82325down,OrderDate6/19/20@04:16PMEDT,unknown,nymph
82326,Amblyommaamericanum,PartiallyFed,82326top,82326down,OrderDate6/19/20@05:43PMEDT,male,adult
82327,Ixodesscapularis,PartiallyFed,82327top,82327down,OrderDate6/19/20@06:13PMEDT,unknown,nymph
82328,Amblyommaamericanum,PartiallyFed,82328top,82328down,OrderDate6/19/20@06:23PMEDT,unknown,nymph
82329,Dermacentorvariabilis,PartiallyFed,82329top,82329down,OrderDate6/19/20@06:33PMEDT,female,adult
82330,Amblyommaamericanum,PartiallyFed,82330top,82330down,OrderDate6/19/20@07:05PMEDT,female,adult
82331,Ixodesscapularis,PartiallyFed,82331top,82331down,OrderDate6/19/20@07:16PMEDT,unknown,nymph
82332,Dermacentorvariabilis,PartiallyFed,82332top,82332down,OrderDate6/19/20@07:40PMEDT,female,adult
82333,Ixodesscapularis,PartiallyFed,82333top,82333down,OrderDate6/19/20@07:49PMEDT,unknown,nymph
82337,Ixodesricinus,PartiallyFed,82337top,82337down,OrderDate6/20/20@02:11AMEDT,unknown,nymph
82338,Dermacentorvariabilis,PartiallyFed,82338top,82338down,OrderDate6/20/20@02:49AMEDT,female,adult
82339,Ixodesscapularis,PartiallyFed,82339top,82339down,OrderDate6/20/20@04:17AMEDT,unknown,nymph
82340,Ixodesscapularis,PartiallyFed,82340top,82340down,OrderDate6/20/20@04:29AMEDT,female,adult
82341,Ixodesscapularis,PartiallyFed,82341top,82341down,OrderDate6/20/20@04:32AMEDT,unknown,nymph
82342,Ixodesscapularis,PartiallyFed,82342top,82342down,OrderDate6/20/20@04:41AMEDT,unknown,nymph
82343,Amblyommaamericanum,PartiallyFed,82343top,82343down,OrderDate6/20/20@04:44AMEDT,unknown,nymph
82344,Dermacentorvariabilis,PartiallyFed,82344top,82344down,OrderDate6/20/20@04:53AMEDT,female,adult
82345,Amblyommaamericanum,PartiallyFed,82345top,82345down,OrderDate6/20/20@04:55AMEDT,unknown,nymph
82346,Amblyommaamericanum,PartiallyFed,82346top,82346down,OrderDate6/20/20@05:18AMEDT,unknown,nymph
82347,Dermacentorvariabilis,PartiallyFed,82347top,82347down,OrderDate6/20/20@05:24AMEDT,female,adult
82348,Ixodesscapularis,PartiallyFed,82348top,82348down,OrderDate6/20/20@05:39AMEDT,female,adult
82349,Ixodesscapularis,PartiallyFed,82349top,82349down,OrderDate6/20/20@05:51AMEDT,female,adult
82350,Ixodesspp.,PartiallyFed,82350top,82350down,OrderDate6/20/20@05:52AMEDT,unknown,nymph
82351,Ixodesscapularis,PartiallyFed,82351top,82351down,OrderDate6/20/20@05:56AMEDT,unknown,nymph
82352,Dermacentorvariabilis,PartiallyFed,82352top,82352down,OrderDate6/20/20@05:57AMEDT,female,adult
82353,Ixodesscapularis,PartiallyFed,82353top,82353down,OrderDate6/20/20@06:07AMEDT,unknown,nymph
82354,Ixodesscapularis,PartiallyFed,82354top,82354down,OrderDate6/20/20@06:13AMEDT,unknown,nymph
82355,Amblyommaamericanum,PartiallyFed,82355top,82355down,OrderDate6/20/20@06:28AMEDT,unknown,nymph
82356,Amblyommaamericanum,PartiallyFed,82356top,82356down,OrderDate6/20/20@06:39AMEDT,unknown,nymph
82357,Amblyommaamericanum,PartiallyFed,82357top,82357down,OrderDate6/20/20@06:39AMEDT,unknown,nymph
82358,Amblyommaamericanum,PartiallyFed,82358top,82358down,OrderDate6/20/20@06:39AMEDT,unknown,nymph
82359,Ixodesscapularis,PartiallyFed,82359top,82359down,OrderDate6/20/20@06:48AMEDT,unknown,nymph
82360,Ixodesscapularis,PartiallyFed,82360top,82360down,OrderDate6/20/20@06:48AMEDT,unknown,nymph
82361,Amblyommaamericanum,PartiallyFed,82361top,82361down,OrderDate6/20/20@06:58AMEDT,unknown,nymph
82362,Amblyommaamericanum,PartiallyFed,82362top,82362down,OrderDate6/20/20@07:04AMEDT,male,adult
82363,Amblyommaamericanum,PartiallyFed,82363top,82363down,OrderDate6/20/20@07:04AMEDT,male,adult
82364,Amblyommaamericanum,PartiallyFed,82364top,82364down,OrderDate6/20/20@07:16AMEDT,female,adult
82365,Ixodesscapularis,PartiallyFed,82365top,82365down,OrderDate6/20/20@07:22AMEDT,unknown,nymph
82366,Amblyommaamericanum,PartiallyFed,82366top,82366down,OrderDate6/20/20@07:25AMEDT,unknown,nymph
82367,Ixodesscapularis,PartiallyFed,82367top,82367down,OrderDate6/20/20@07:34AMEDT,unknown,nymph
82368,Ixodesscapularis,PartiallyFed,82368top,82368down,OrderDate6/20/20@07:37AMEDT,female,adult
82369,Amblyommaamericanum,PartiallyFed,82369top,82369down,OrderDate6/20/20@07:59AMEDT,unknown,nymph
82371,Amblyommaamericanum,PartiallyFed,82371top,82371down,OrderDate6/20/20@08:07AMEDT,male,adult
82372,Ixodesscapularis,PartiallyFed,82372top,82372down,OrderDate6/20/20@08:09AMEDT,unknown,nymph
82373,Ixodesscapularis,PartiallyFed,82373top,82373down,OrderDate6/20/20@08:12AMEDT,unknown,nymph
82374,Dermacentorvariabilis,PartiallyFed,82374top,82374down,OrderDate6/20/20@08:23AMEDT,female,adult
82375,Ixodesscapularis,PartiallyFed,82375top,82375down,OrderDate6/20/20@08:41AMEDT,unknown,nymph
82376,Amblyommaamericanum,PartiallyFed,82376top,82376down,OrderDate6/20/20@08:47AMEDT,unknown,nymph
82377,Amblyommaamericanum,PartiallyFed,82377top,82377down,OrderDate6/20/20@08:53AMEDT,female,adult
82378,Ixodesscapularis,PartiallyFed,82378top,82378down,OrderDate6/20/20@09:16AMEDT,female,adult
82379,Amblyommaamericanum,PartiallyFed,82379top,82379down,OrderDate6/20/20@09:25AMEDT,unknown,nymph
82380,Amblyommaamericanum,PartiallyFed,82380top,82380down,OrderDate6/20/20@09:46AMEDT,male,adult
82381,Amblyommaamericanum,PartiallyFed,82381top,82381down,OrderDate6/20/20@09:46AMEDT,unknown,nymph
82382,Ixodesscapularis,PartiallyFed,82382top,82382down,OrderDate6/20/20@09:51AMEDT,female,adult
82383,Ixodesscapularis,PartiallyFed,82383top,82383down,OrderDate6/20/20@10:08AMEDT,unknown,nymph
82384,Ixodesscapularis,PartiallyFed,82384top,82384down,OrderDate6/20/20@10:12AMEDT,unknown,nymph
82385,Amblyommaamericanum,PartiallyFed,82385top,82385down,OrderDate6/20/20@11:38AMEDT,unknown,nymph
82386,Amblyommaamericanum,PartiallyFed,82386top,82386down,OrderDate6/20/20@11:39AMEDT,male,adult
82387,Ixodesscapularis,PartiallyFed,82387top,82387down,OrderDate6/20/20@11:41AMEDT,unknown,nymph
82388,Dermacentorvariabilis,PartiallyFed,82388top,82388down,OrderDate6/20/20@12:27PMEDT,male,adult
82389,Ixodesscapularis,PartiallyFed,82389top,82389down,OrderDate6/20/20@12:28PMEDT,female,adult
82390,Ixodesscapularis,PartiallyFed,82390top,82390down,OrderDate6/20/20@01:09PMEDT,female,adult
82393,Ixodesscapularis,PartiallyFed,82393top,82393down,OrderDate6/20/20@02:23PMEDT,unknown,nymph
82396,Dermacentorvariabilis,PartiallyFed,82396top,82396down,OrderDate6/20/20@03:21PMEDT,female,adult
82397,Amblyommamaculatum,PartiallyFed,82397top,82397down,OrderDate6/20/20@03:28PMEDT,male,adult
82399,Dermacentorvariabilis,PartiallyFed,82399top,82399down,OrderDate6/20/20@03:45PMEDT,female,adult
82400,Ixodesscapularis,PartiallyFed,82400top,82400down,OrderDate6/20/20@03:58PMEDT,unknown,nymph
82401,Ixodesscapularis,PartiallyFed,82401top,82401down,OrderDate6/20/20@04:19PMEDT,unknown,nymph
82402,Amblyommaamericanum,PartiallyFed,82402top,82402down,OrderDate6/20/20@04:24PMEDT,unknown,nymph
82403,Ixodesscapularis,PartiallyFed,82403top,82403down,OrderDate6/20/20@04:35PMEDT,female,adult
82404,Dermacentorvariabilis,Novisiblesignsoffeeding(flat),82404top,82404down,OrderDate6/20/20@04:50PMEDT,male,adult
82405,Ixodesscapularis,PartiallyFed,82405top,82405down,OrderDate6/20/20@05:40PMEDT,unknown,nymph
82406,Dermacentorvariabilis,PartiallyFed,82406top,82406down,OrderDate6/20/20@06:17PMEDT,male,adult
82407,Ixodesscapularis,PartiallyFed,82407top,82407down,OrderDate6/20/20@06:24PMEDT,female,adult
82408,Amblyommaamericanum,--,82408top,82408down,OrderDate6/20/20@06:53PMEDT,unknown,unknown
82409,Dermacentorvariabilis,PartiallyFed,82409top,82409down,OrderDate6/20/20@06:54PMEDT,female,adult
82410,Amblyommaamericanum,PartiallyFed,82410top,82410down,OrderDate6/20/20@07:04PMEDT,unknown,nymph
82411,Amblyommaamericanum,PartiallyFed,82411top,82411down,OrderDate6/20/20@07:17PMEDT,unknown,nymph
82412,Dermacentorvariabilis,PartiallyFed,82412top,82412down,OrderDate6/20/20@08:00PMEDT,male,adult
82413,Dermacentorvariabilis,PartiallyFed,82413top,82413down,OrderDate6/20/20@09:36PMEDT,female,adult
82414,Dermacentorandersoni,PartiallyFed,82414top,82414down,OrderDate6/20/20@09:54PMEDT,female,adult
82415,Amblyommaamericanum,PartiallyFed,82415top,82415down,OrderDate6/21/20@12:16AMEDT,male,adult
82416,Amblyommaamericanum,PartiallyFed,82416top,82416down,OrderDate6/21/20@02:40AMEDT,unknown,nymph
82417,Ixodesscapularis,PartiallyFed,82417top,82417down,OrderDate6/21/20@04:10AMEDT,unknown,nymph
82418,Amblyommaamericanum,PartiallyFed,82418top,82418down,OrderDate6/21/20@04:30AMEDT,unknown,nymph
82419,Amblyommaamericanum,PartiallyFed,82419top,82419down,OrderDate6/21/20@04:45AMEDT,male,adult
82420,Amblyommaamericanum,PartiallyFed,82420top,82420down,OrderDate6/21/20@04:49AMEDT,unknown,nymph
82421,Ixodesscapularis,PartiallyFed,82421top,82421down,OrderDate6/21/20@05:54AMEDT,female,adult
82422,Amblyommaamericanum,PartiallyFed,82422top,82422down,OrderDate6/21/20@06:08AMEDT,unknown,nymph
82423,Amblyommaamericanum,PartiallyFed,82423top,82423down,OrderDate6/21/20@06:14AMEDT,female,adult
82424,Ixodesscapularis,PartiallyFed,82424top,82424down,OrderDate6/21/20@06:42AMEDT,unknown,nymph
82425,Amblyommaamericanum,PartiallyFed,82425top,82425down,OrderDate6/21/20@06:45AMEDT,female,adult
82427,Ixodesscapularis,PartiallyFed,82427top,82427down,OrderDate6/21/20@07:06AMEDT,unknown,nymph
82429,Ixodesscapularis,PartiallyFed,82429top,82429down,OrderDate6/21/20@07:49AMEDT,unknown,nymph
